NAME_PT,NAME_EN,NAME_ES,FAMILY_PT,FAMILY_EN,FAMILY_ES,MODEL,CODE_PATTERN_PLAIN,CODE_PATTERN,CODE_PATTERN_FORMATTED,PLAYLIST,DESCRIPTION_PT,DESCRIPTION_EN,DESCRIPTION_ES,MANUAL_PT,MANUAL_EN,MANUAL_ES,IMAGE
Acoplamento Rígido,Rigid Coupling,Acoplamientos Rígido,DENFLEX NVD,DENFLEX NVD,DENFLEX NVD,FLF,9740yyy ou 59xxxyyy,9740|59740,^(9740|59740)\d{3},https://www.youtube.com/playlist?list=PLEYT1Xb-iELDpGEo2pK75kqvj5nEIz7ub,"Acoplamento flexível torcional, equipado com elemento elástico que funciona em compressão. Apropriado para movimento reversos e flexibilidade multidirecional.","Flexible torsional coupling, equipped with an elastic element that works in compression. Suitable for reverse movement and multidirectional flexibility.","Acoplamiento de torsión flexible, equipado con un elemento elástico que trabaja en compresión. Adecuado para movimiento inverso y flexibilidad multidireccional.",MOI740-0005-PT,MOI740-0005-EN ,MOI740-0005-SP,denflexRigidCoupling
Acoplamento Rígido,Rigid Coupling,Acoplamientos Rígido,DENFLEX NVD,DENFLEX NVD,DENFLEX NVD,FF,9740yyy ou 59xxxyyy,9740|59740,^(9740|59740)\d{3},https://www.youtube.com/playlist?list=PLEYT1Xb-iELDpGEo2pK75kqvj5nEIz7ub,"Acoplamento flexível torcional, equipado com elemento elástico que funciona em compressão. Apropriado para movimento reversos e flexibilidade multidirecional.","Flexible torsional coupling, equipped with an elastic element that works in compression. Suitable for reverse movement and multidirectional flexibility.","Acoplamiento de torsión flexible, equipado con un elemento elástico que trabaja en compresión. Adecuado para movimiento inverso y flexibilidad multidireccional.",MOI740-0003-PT,MOI740-0003-EN,MOI740-0003-SP,denflexRigidCoupling
Acoplamento Rígido,Rigid Coupling,Acoplamientos Rígido,DENFLEX NVD,DENFLEX NVD,DENFLEX NVD,FF1I,9740yyy ou 59xxxyyy,9740|59740,^(9740|59740)\d{3},https://www.youtube.com/playlist?list=PLEYT1Xb-iELDpGEo2pK75kqvj5nEIz7ub,"Acoplamento flexível torcional, equipado com elemento elástico que funciona em compressão. Apropriado para movimento reversos e flexibilidade multidirecional.","Flexible torsional coupling, equipped with an elastic element that works in compression. Suitable for reverse movement and multidirectional flexibility.","Acoplamiento de torsión flexible, equipado con un elemento elástico que trabaja en compresión. Adecuado para movimiento inverso y flexibilidad multidireccional.",MOI740-0006-PT,MOI740-0006-EN,MOI740-0006-SP,denflexRigidCoupling
Acoplamento Rígido,Rigid Coupling,Acoplamientos Rígido,DENFLEX NVD,DENFLEX NVD,DENFLEX NVD,FF2I,9740yyy ou 59xxxyyy,9740|59740,^(9740|59740)\d{3},https://www.youtube.com/playlist?list=PLEYT1Xb-iELDpGEo2pK75kqvj5nEIz7ub,"Acoplamento flexível torcional, equipado com elemento elástico que funciona em compressão. Apropriado para movimento reversos e flexibilidade multidirecional.","Flexible torsional coupling, equipped with an elastic element that works in compression. Suitable for reverse movement and multidirectional flexibility.","Acoplamiento de torsión flexible, equipado con un elemento elástico que trabaja en compresión. Adecuado para movimiento inverso y flexibilidad multidireccional.",MOI740-0006-PT,MOI740-0006-EN,MOI740-0006-SP,denflexRigidCoupling
Acoplamento Rígido,Rigid Coupling,Acoplamientos Rígido,DENFLEX NVD,DENFLEX NVD,DENFLEX NVD,FF1L,9740yyy ou 59xxxyyy,9740|59740,^(9740|59740)\d{3},https://www.youtube.com/playlist?list=PLEYT1Xb-iELDpGEo2pK75kqvj5nEIz7ub,"Acoplamento flexível torcional, equipado com elemento elástico que funciona em compressão. Apropriado para movimento reversos e flexibilidade multidirecional.","Flexible torsional coupling, equipped with an elastic element that works in compression. Suitable for reverse movement and multidirectional flexibility.","Acoplamiento de torsión flexible, equipado con un elemento elástico que trabaja en compresión. Adecuado para movimiento inverso y flexibilidad multidireccional.",MOI740-0014-PT,MOI740-0014-EN,MOI740-0014-SP,denflexRigidCoupling
Acoplamento Rígido,Rigid Coupling,Acoplamientos Rígido,DENFLEX NVD,DENFLEX NVD,DENFLEX NVD,FF1IL,9740yyy ou 59xxxyyy,9740|59740,^(9740|59740)\d{3},https://www.youtube.com/playlist?list=PLEYT1Xb-iELDpGEo2pK75kqvj5nEIz7ub,"Acoplamento flexível torcional, equipado com elemento elástico que funciona em compressão. Apropriado para movimento reversos e flexibilidade multidirecional.","Flexible torsional coupling, equipped with an elastic element that works in compression. Suitable for reverse movement and multidirectional flexibility.","Acoplamiento de torsión flexible, equipado con un elemento elástico que trabaja en compresión. Adecuado para movimiento inverso y flexibilidad multidireccional.",MOI740-0014-PT,MOI740-0014-EN,MOI740-0014-SP,denflexRigidCoupling
Acoplamento Rígido,Rigid Coupling,Acoplamientos Rígido,DENFLEX NVD,DENFLEX NVD,DENFLEX NVD,FF2L,9740yyy ou 59xxxyyy,9740|59740,^(9740|59740)\d{3},https://www.youtube.com/playlist?list=PLEYT1Xb-iELDpGEo2pK75kqvj5nEIz7ub,"Acoplamento flexível torcional, equipado com elemento elástico que funciona em compressão. Apropriado para movimento reversos e flexibilidade multidirecional.","Flexible torsional coupling, equipped with an elastic element that works in compression. Suitable for reverse movement and multidirectional flexibility.","Acoplamiento de torsión flexible, equipado con un elemento elástico que trabaja en compresión. Adecuado para movimiento inverso y flexibilidad multidireccional.",MOI740-0014-PT,MOI740-0014-EN,MOI740-0014-SP,denflexRigidCoupling
Acoplamento Rígido,Rigid Coupling,Acoplamientos Rígido,DENFLEX NVD,DENFLEX NVD,DENFLEX NVD,FF1D,9740yyy ou 59xxxyyy,9740|59740,^(9740|59740)\d{3},https://www.youtube.com/playlist?list=PLEYT1Xb-iELDpGEo2pK75kqvj5nEIz7ub,"Acoplamento flexível torcional, equipado com elemento elástico que funciona em compressão. Apropriado para movimento reversos e flexibilidade multidirecional.","Flexible torsional coupling, equipped with an elastic element that works in compression. Suitable for reverse movement and multidirectional flexibility.","Acoplamiento de torsión flexible, equipado con un elemento elástico que trabaja en compresión. Adecuado para movimiento inverso y flexibilidad multidireccional.",MOI740-0007-PT,MOI740-0007-EN,MOI740-0007-SP,denflexRigidCoupling
Acoplamento Rígido,Rigid Coupling,Acoplamientos Rígido,DENFLEX NVD,DENFLEX NVD,DENFLEX NVD,FF1ID,9740yyy ou 59xxxyyy,9740|59740,^(9740|59740)\d{3},https://www.youtube.com/playlist?list=PLEYT1Xb-iELDpGEo2pK75kqvj5nEIz7ub,"Acoplamento flexível torcional, equipado com elemento elástico que funciona em compressão. Apropriado para movimento reversos e flexibilidade multidirecional.","Flexible torsional coupling, equipped with an elastic element that works in compression. Suitable for reverse movement and multidirectional flexibility.","Acoplamiento de torsión flexible, equipado con un elemento elástico que trabaja en compresión. Adecuado para movimiento inverso y flexibilidad multidireccional.",MOI740-0007-PT,MOI740-0007-EN,MOI740-0007-SP,denflexRigidCoupling
Acoplamento Rígido,Rigid Coupling,Acoplamientos Rígido,DENFLEX NVD,DENFLEX NVD,DENFLEX NVD,FF1LD,9740yyy ou 59xxxyyy,9740|59740,^(9740|59740)\d{3},https://www.youtube.com/playlist?list=PLEYT1Xb-iELDpGEo2pK75kqvj5nEIz7ub,"Acoplamento flexível torcional, equipado com elemento elástico que funciona em compressão. Apropriado para movimento reversos e flexibilidade multidirecional.","Flexible torsional coupling, equipped with an elastic element that works in compression. Suitable for reverse movement and multidirectional flexibility.","Acoplamiento de torsión flexible, equipado con un elemento elástico que trabaja en compresión. Adecuado para movimiento inverso y flexibilidad multidireccional.",MOI740-0015-PT,MOI740-0015-EN,MOI740-0015-SP,denflexRigidCoupling
